住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県神戸市東灘区神戸市東灘区,34.7239561,135.2632519,104211
兵庫県神戸市東灘区魚崎北町１丁目,34.7175456,135.2765132,463
兵庫県神戸市東灘区魚崎北町２丁目,34.7175669,135.2741678,284
兵庫県神戸市東灘区魚崎北町３丁目,34.7168925,135.2721158,266
兵庫県神戸市東灘区魚崎北町４丁目,34.7165006,135.2694775,758
兵庫県神戸市東灘区魚崎北町５丁目,34.7196324,135.2756336,594
兵庫県神戸市東灘区魚崎北町６丁目,34.7192405,135.2729952,593
兵庫県神戸市東灘区魚崎北町７丁目,34.7185661,135.2709432,315
兵庫県神戸市東灘区魚崎北町８丁目,34.7185872,135.2685982,219
兵庫県神戸市東灘区魚崎中町１丁目,34.7160132,135.2773927,625
兵庫県神戸市東灘区魚崎中町２丁目,34.7147845,135.2753405,685
兵庫県神戸市東灘区魚崎中町３丁目,34.7146646,135.2732884,393
兵庫県神戸市東灘区魚崎中町４丁目,34.7137184,135.2706501,552
兵庫県神戸市東灘区魚崎西町１丁目,34.7076525,135.2671326,191
兵庫県神戸市東灘区魚崎西町２丁目,34.710283,135.2674257,554
兵庫県神戸市東灘区魚崎西町３丁目,34.7119354,135.2685982,179
兵庫県神戸市東灘区魚崎西町４丁目,34.7127827,135.2668395,519
兵庫県神戸市東灘区魚崎南町１丁目,34.7125241,135.2800314,389
兵庫県神戸市東灘区魚崎南町２丁目,34.7114368,135.2776859,950
兵庫県神戸市東灘区魚崎南町３丁目,34.7103495,135.2753405,878
兵庫県神戸市東灘区魚崎南町４丁目,34.710936,135.2718226,442
兵庫県神戸市東灘区魚崎南町５丁目,34.7087399,135.2694775,1195
兵庫県神戸市東灘区魚崎南町６丁目,34.7148937,135.2785654,233
兵庫県神戸市東灘区魚崎南町７丁目,34.7132627,135.2750473,419
兵庫県神戸市東灘区魚崎南町８丁目,34.7124684,135.2709432,419
兵庫県神戸市東灘区渦森台１丁目,34.7386922,135.2510142,98
兵庫県神戸市東灘区渦森台２丁目,34.737181,135.2495491,889
兵庫県神戸市東灘区渦森台３丁目,34.7388532,135.2483771,214
兵庫県神戸市東灘区渦森台４丁目,34.7405254,135.2472052,271
兵庫県神戸市東灘区青木２丁目,34.7158075,135.2847227,1046
兵庫県神戸市東灘区青木３丁目,34.7145897,135.2814973,249
兵庫県神戸市東灘区青木４丁目,34.7200799,135.2873618,220
兵庫県神戸市東灘区青木５丁目,34.7180251,135.2847227,806
兵庫県神戸市東灘区青木６丁目,34.7163942,135.2812041,604
兵庫県神戸市東灘区岡本１丁目,34.7270909,135.2759725,576
兵庫県神戸市東灘区岡本２丁目,34.7274138,135.2732884,548
兵庫県神戸市東灘区岡本３丁目,34.72702160000001,135.2706501,794
兵庫県神戸市東灘区岡本４丁目,34.726347,135.2685982,413
兵庫県神戸市東灘区岡本５丁目,34.7303054,135.2753405,392
兵庫県神戸市東灘区岡本６丁目,34.7329564,135.2732884,430
兵庫県神戸市東灘区岡本７丁目,34.7310321,135.2715295,740
兵庫県神戸市東灘区岡本８丁目,34.7286948,135.2694775,378
兵庫県神戸市東灘区岡本９丁目,34.7288567,135.2668395,257
兵庫県神戸市東灘区鴨子ケ原１丁目,34.7287183,135.2510142,238
兵庫県神戸市東灘区鴨子ケ原２丁目,34.7344005,135.2507211,771
兵庫県神戸市東灘区鴨子ケ原３丁目,34.730814,135.2489631,653
兵庫県神戸市東灘区北青木１丁目,34.7211995,135.2861888,459
兵庫県神戸市東灘区北青木２丁目,34.719699,135.2835498,630
兵庫県神戸市東灘区北青木３丁目,34.7186117,135.2812041,884
兵庫県神戸市東灘区北青木４丁目,34.7175243,135.2788586,825
兵庫県神戸市東灘区甲南台,34.7345145,135.2850159,160
兵庫県神戸市東灘区甲南町１丁目,34.722111,135.2773927,556
兵庫県神戸市東灘区甲南町２丁目,34.7218497,135.2756336,417
兵庫県神戸市東灘区甲南町３丁目,34.7213165,135.2732884,735
兵庫県神戸市東灘区甲南町４丁目,34.7203702,135.2706501,894
兵庫県神戸市東灘区甲南町５丁目,34.7202501,135.2685982,212
兵庫県神戸市東灘区向洋町中１丁目,34.6920859,135.2718226,1722
兵庫県神戸市東灘区向洋町中２丁目,34.6893025,135.2729952,365
兵庫県神戸市東灘区向洋町中３丁目,34.6870845,135.2729952,1516
兵庫県神戸市東灘区向洋町中４丁目,34.6843009,135.2741678,36
兵庫県神戸市東灘区向洋町中５丁目,34.6918684,135.2653739,2509
兵庫県神戸市東灘区向洋町中６丁目,34.6882591,135.2659601,410
兵庫県神戸市東灘区向洋町中７丁目,34.6860412,135.2659601,1678
兵庫県神戸市東灘区向洋町中９丁目,34.681897,135.2683996,285
兵庫県神戸市東灘区住吉台,34.7407273,135.2559956,1452
兵庫県神戸市東灘区住吉東町１丁目,34.7152719,135.2674257,350
兵庫県神戸市東灘区住吉東町２丁目,34.7193037,135.2659601,920
兵庫県神戸市東灘区住吉東町３丁目,34.7148693,135.2659601,580
兵庫県神戸市東灘区住吉東町４丁目,34.7177925,135.2644946,203
兵庫県神戸市東灘区住吉東町５丁目,34.719939,135.2646412,189
兵庫県神戸市東灘区住吉本町１丁目,34.7221063,135.262443,1560
兵庫県神戸市東灘区住吉本町２丁目,34.7204747,135.2589261,899
兵庫県神戸市東灘区住吉本町３丁目,34.723999,135.2595517,1049
